idx,image_id,captured_at,year,lat,lon,compass_angle,is_pano,width,height,creator_username,sequence,source_url,license,path
51,947019556132112,2016-08-02T16:29:13.371000+00:00,2016,34.047825,-118.44431,266.6135,False,3264,2448,mapkin,kl1929vl76tg8etftt2sy6,https://www.mapillary.com/app/?pKey=947019556132112,CC BY-SA 4.0,images/947019556132112.jpg
52,841217473138678,2018-09-04T00:51:11.972000+00:00,2018,34.04591267191,-118.44565649991,323.7890625,False,1920,1080,lvl5,8uqsfb7fv26zguv68w64i1,https://www.mapillary.com/app/?pKey=841217473138678,CC BY-SA 4.0,images/841217473138678.jpg
53,1507391470248644,2026-05-29T20:56:38.151000+00:00,2026,34.0569033,-118.4532783,155.0,False,4080,3060,newtonwong,MbaKiTJSYZnPdHFNC0AclR,https://www.mapillary.com/app/?pKey=1507391470248644,CC BY-SA 4.0,images/1507391470248644.jpg
54,869837403613721,2016-08-30T20:56:24.867000+00:00,2016,34.057777,-118.447823,222.5085,False,4032,3024,cscrivens,EFZDI18kToiNlKAU_Yn-Uw,https://www.mapillary.com/app/?pKey=869837403613721,CC BY-SA 4.0,images/869837403613721.jpg
55,320864216279072,2017-06-14T09:54:05+00:00,2017,34.048411388889,-118.43574138889,53.692820106042,False,1920,1080,mly_la,qolzyoh8yHNbiu1gNw0SkQ,https://www.mapillary.com/app/?pKey=320864216279072,CC BY-SA 4.0,images/320864216279072.jpg
56,754868412059373,2018-07-13T23:06:03.414000+00:00,2018,34.059488320435,-118.45485420042,328.0078125,False,1920,1080,lvl5,tuyaijn8jrejc3wrqfpvll,https://www.mapillary.com/app/?pKey=754868412059373,CC BY-SA 4.0,images/754868412059373.jpg
57,530699684589329,2018-11-30T16:53:49.221000+00:00,2018,34.049686536253,-118.43676676931,68.060821533203,False,1920,1080,lvl5,v8sd2y8zi4mcawgeg67401,https://www.mapillary.com/app/?pKey=530699684589329,CC BY-SA 4.0,images/530699684589329.jpg
58,853719158689229,2017-08-10T13:31:51+00:00,2017,34.054413055556,-118.45068138889,325.51923755538,False,3840,2160,mly_la,XHOBt1_KxEyWs2Gd7J5QMw,https://www.mapillary.com/app/?pKey=853719158689229,CC BY-SA 4.0,images/853719158689229.jpg
59,908352631892708,2026-02-24T12:12:45.205000+00:00,2026,34.050373773333,-118.44911240667,170.08972163091,False,3840,2160,aHS,j8OW5zouQ3ZriS1kYaqseJ,https://www.mapillary.com/app/?pKey=908352631892708,CC BY-SA 4.0,images/908352631892708.jpg
60,1850017845171652,2018-11-30T16:52:56.708000+00:00,2018,34.049220106436,-118.43810217993,73.663414001465,False,1920,1080,lvl5,qijbmomai616uawlrvh8nf,https://www.mapillary.com/app/?pKey=1850017845171652,CC BY-SA 4.0,images/1850017845171652.jpg
61,1285731043469066,2026-02-24T11:30:16.444000+00:00,2026,34.04952391,-118.44854006,341.74781436238,False,3840,2160,aHS,5ly30VmQb2Ia1pRjJvdkEH,https://www.mapillary.com/app/?pKey=1285731043469066,CC BY-SA 4.0,images/1285731043469066.jpg
62,291005126000199,2019-03-18T01:43:44.498000+00:00,2019,34.045632382718,-118.44531675698,322.734375,False,1920,1080,lvl5,2hvzzoqmfdxnn0mdb4780u,https://www.mapillary.com/app/?pKey=291005126000199,CC BY-SA 4.0,images/291005126000199.jpg
